x1	y1	x2	y2
324.578000	260.193000	310.208000	231.931000
268.756000	270.476000	259.979000	241.377000
473.576000	268.865000	453.960000	236.686000
326.030000	277.355000	309.502000	246.104000
326.030000	277.355000	309.502000	246.104000
300.846000	28.840900	298.998000	33.994100
302.634000	85.368600	296.123000	83.957000
302.634000	85.368600	296.123000	83.957000
266.192000	99.494100	263.077000	100.391000
301.707000	105.360000	294.765000	103.112000
301.707000	105.360000	294.765000	103.112000
280.394000	136.760000	273.305000	132.143000
323.863000	137.197000	314.449000	128.619000
266.469000	163.573000	259.918000	155.757000
281.899000	163.595000	274.504000	153.800000
322.953000	164.390000	312.984000	151.368000
296.240000	167.011000	286.167000	158.236000
360.454000	217.992000	344.374000	194.345000
231.751000	227.518000	229.995000	208.613000
307.765000	226.122000	297.541000	204.415000
262.728000	228.848000	257.379000	206.489000
450.903000	263.821000	430.116000	232.806000
429.035000	269.101000	408.272000	237.678000
429.993000	341.363000	404.626000	297.812000
491.404000	380.392000	463.132000	330.107000
295.310000	47.351400	290.927000	51.849700
302.435000	86.828200	296.061000	84.826400
302.435000	86.828200	296.061000	84.826400
302.165000	144.137000	292.877000	134.433000
300.385000	170.732000	289.667000	158.433000
428.498000	193.875000	412.490000	171.076000
300.468000	196.536000	290.801000	180.549000
281.705000	206.528000	270.055000	189.990000
268.036000	252.689000	259.793000	226.168000
450.603000	264.633000	429.772000	233.592000
457.411000	325.161000	432.877000	284.518000
490.640000	380.303000	462.705000	330.598000
303.495000	143.761000	294.818000	135.531000
291.824000	170.324000	284.779000	157.994000
126.320000	218.139000	130.307000	208.272000
324.794000	257.975000	310.712000	231.292000
450.367000	265.244000	429.772000	233.592000
457.306000	325.549000	432.877000	284.518000
488.137000	342.420000	462.037000	300.350000
488.137000	342.420000	462.037000	300.350000
490.327000	380.447000	462.705000	330.598000
293.198000	53.022400	290.896000	55.853200
302.176000	90.211800	295.802000	89.779900
302.176000	90.211800	295.797000	90.807400
319.084000	134.889000	314.080000	128.242000
284.053000	136.092000	274.656000	131.735000
301.088000	171.320000	294.325000	160.423000
280.293000	205.150000	270.444000	185.308000
429.602000	226.048000	412.639000	197.672000
456.602000	326.160000	432.351000	285.394000
430.390000	342.584000	403.875000	299.917000
431.318000	377.861000	405.215000	327.289000
457.929000	376.842000	432.006000	327.551000
302.360000	90.829800	295.565000	91.366600
432.593000	341.893000	405.600000	300.480000
453.919000	376.196000	429.897000	327.015000
301.945000	91.899800	295.023000	91.757100
301.945000	91.899800	295.565000	91.366600
283.728000	135.387000	275.700000	129.410000
454.329000	328.457000	431.151000	285.992000
454.329000	328.457000	431.151000	285.992000
451.500000	268.605000	430.753000	238.802000
451.500000	268.605000	430.753000	238.802000
451.138000	373.430000	423.247000	322.330000
451.138000	373.430000	423.247000	322.330000
300.248000	76.677100	295.007000	79.174600
296.207000	232.427000	289.709000	210.426000
